sample_id,answerable,confidence,proposed_doc_id,alt_doc_id,검수,question_preview,reason,,,,,,,,,
faq-002,O,high,guide/깃허브/연동-설정-가이드,guide/깃허브/개요,,"<외부서비스명> 연동 시 업데이트를 하라고 나오는데 업데이트 버튼도 무반응이고 재연동 시에도 동일합니다. 넵 Organization 및 Repository Owner 입니다! 확인했습니다. 감사합니다! Repository가 보이지 않는 문제는 해결된 것 같은데, 여전히","질문은 깃허브 연동 문제와 관련된 것으로, 깃허브 연동 설정 가이드 문서가 가장 적합한 답변을 제공할 수 있다.",,,,,,,,,
faq-005,X,high,,,,"안녕하세요 <서비스명>-<외부서비스명> 연동 관련 질문이 있어 연락 드렸습니다. <외부서비스명> ""연동하기""를 클릭하는 단계까지 진행하였는데 '서버 선택하기'를 클릭하면 서버가 없다고 뜨더라구요. 제가 <외부서비스명> 방장이 아니어서 그런 건지 다른 이유인지 확인 한 ","질문은 특정 계정의 권한 및 서버 상태 확인에 대한 것으로, 가이드 문서로 답변할 수 없는 개별 처리 요청에 해당합니다.",,,,,,,,,
faq-006,O,high,guide/알림,guide/워크스페이스/워크스페이스-설정,,안녕하세요. 현재 <외부서비스명> 연동 기능을 테스트 중입니다. 알림 수신 경로 설정과 관련하여 기술적인 가이드나 설정 방법이 따로 있을까요? 특정 연동 알림이 채널로 발송될 때와 개인 DM으로 발송될 때의 기준이 무엇인가요? 사용자가 원하는 알림을 채널 또는 DM 중,"질문은 알림 수신 경로 설정과 관련된 가이드를 찾고 있으며, 문서 목록에서 '알림'과 '워크스페이스 설정' 관련 문서가 관련 정보를 제공할 가능성이 높습니다.",,,,,,,,,
faq-007,X,high,,,,탈퇴 어떻게 하나요? <이메일>,"회원 탈퇴는 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답변할 수 없는 질문입니다.",,,,,,,,,
faq-008,X,high,,,,기본폼 어떻게 짜야해?,"질문이 IT 프로젝트 관리 툴의 기본 폼 작성 방법에 대한 것으로, 제공된 문서 목록에 관련된 문서가 없습니다.",,,,,,,,,
faq-009,O,high,guide/비공개-팀/접근-권한,guide/비공개-팀/설정,,"안녕하세요. <서비스명> 사용자 <회사명> 입니다. 저희 임직원들 중에 일부 몇몇 사용자가 로그인하면 404에러 페이지가 나온고, 좌츨 트리구조에서 해당 프로젝트를 들어가야 한다고 하는데 어떻게 조치하면 될까요?! 증상이 나타나는 사용자에게 안내하여 확인하겠습니다. 감","상담 답변에서 비공개 팀에 참여하지 않은 경우 404 에러가 발생할 수 있다고 안내하고 있으며, 이는 비공개 팀의 접근 권한과 관련된 문제이므로 관련 문서가 적합합니다.",,,,,,,,,
faq-010,X,high,,,,안녕하세요 <서비스명>에 <외부서비스명>조직을 연결하고 접근 권한을 모두 주었지만 여전히 나타나지 않아 이럴 때는 어떻게 해야할까요? 연동되었습니다. 감사합니다!,"질문은 특정 계정의 연동 문제에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답변할 수 없는 내용입니다.",,,,,,,,,
faq-011,X,high,,,,"워크 스페이스 알림 설정 기능에서, 알림 설정에 대한 개별 버튼 클릭하여도 새로고침 시 전체가 켜져있는 상태가 됩니다. 별도의 변경 저장 버튼은 보이지 않는 듯하여, 해당 이슈는 버그인가요?","질문은 특정 기능의 버그에 대한 것으로, 가이드 문서로 답변할 수 있는 일반적인 사용법/기능/정책 질문이 아니며, 문서 목록에 관련 문서가 없다.",,,,,,,,,
faq-012,X,high,,,,계정 탈퇴 및 메일 차단 문의드립니다.,"계정 탈퇴 및 메일 차단은 특정 계정에 대한 개별 처리 요청으로, 문서 목록에 관련 문서가 없으므로 가이드 문서로 답할 수 없습니다.",,,,,,,,,
faq-013,X,high,,,,브랜치명 변경,"브랜치명 변경에 대한 문서는 목록에 없으며, 이는 특정 계정에 대한 개별 처리 요청일 가능성이 높습니다.",,,,,,,,,
faq-014,X,high,,,,탈퇴및 계정 삭제 요청 탈퇴 및 계정 삭제 요청 <이메일>,"계정 탈퇴 및 삭제 요청은 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답변할 수 없는 질문입니다.",,,,,,,,,
faq-015,X,high,,,,"안녕하세요, <기관명> <개인명>, <직책>입니다. <기간>에 최고경영자 약 <수치>이 모이는 <행사명>의 후원사 관련 문의드리고자 합니다. 관련 담당자 <개인정보> 받을 수 있을까요?","질문은 특정 행사 후원사 관련 문의로, 가이드 문서로 답할 수 있는 일반적인 사용법/기능/정책 질문이 아니며, 문서 목록에 관련 문서가 없다.",,,,,,,,,
faq-017,O,high,guide/계획-백로그/작업으로-전환,,,혹시 작업 목록에 있는 프로젝트를 백로그로 이동시킬 수 있나요?,"질문은 작업 목록에 있는 프로젝트를 백로그로 이동시키는 방법에 대한 것으로, 이는 '계획: 백로그 > 작업으로 전환' 문서에서 다룰 가능성이 높습니다.",,,,,,,,,
faq-018,X,high,,,,<행사·제휴 제안 원문 마스킹>,"The question is about a partnership proposal, which is not covered by any of the listed guide documents.",,,,,,,,,
faq-019,X,high,,,,"안녕하세요! 현재 <프로그램명> <프로그램명>에 참여하고 있는 <개인명>입니다. 현재 <그룹정보>에 속해있는데, 저희 워크스페이스가 삭제된 것 같습니다... 어떻게 삭제가 되었는지, 삭제되었다면 복구가 가능한지 등 정확한 확인 부탁드립니다! 갑자기 복구가 되었습니다! ","질문은 특정 워크스페이스의 삭제 및 복구와 관련된 개별 처리 요청으로, 일반적인 사용법이나 기능 설명이 아닌 개별 계정 문제에 대한 것이므로 가이드 문서로 답변할 수 없습니다.",,,,,,,,,
faq-020,O,high,guide/구독-및-결제/결제,guide/구독-및-결제/결제-및-청구-관리,,안녕하세요 <회사명> 재무담당자<개인정보> 저희 법인카드 일시적으로 사용이 힘들어서 개인카드로 결제하려고 하는데 결제가 안되나요?,"질문은 결제 방법 변경에 관한 것으로, 관련 정보는 '구독 및 결제' 문서에 포함되어 있을 가능성이 높습니다.",,,,,,,,,
faq-021,X,high,,,,안녕하세요 <서비스명> 결제 관련해서 문의 드립니다. 현재 제 워크스페이가 결제 완료되었는지 궁급합니다.,"질문은 특정 계정의 결제 상태 확인 요청으로, 가이드 문서로 답할 수 없는 개별 처리 요청입니다.",,,,,,,,,
faq-022,X,high,,,,어떻게 탈퇴할 수 있나요 <이메일> 입니다! 넵 감사합니다,"문서 목록에 계정 탈퇴 관련 가이드 문서가 없고, 질문은 특정 계정에 대한 개별 처리 요청이므로 일반적인 가이드 문서로 답변할 수 없다.",,,,,,,,,
faq-023,X,high,,,,탈퇴하고 싶어요 <이메일> 입니다,"회원 탈퇴는 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답변할 수 없는 질문입니다.",,,,,,,,,
faq-024,O,high,guide/구독-및-결제/구독-변경-또는-취소,guide/구독-및-결제/결제-및-청구-관리,,관리자가 Business 요금제이면 다른 팀원들도 Business 요금제가 적용되나요? 감사합니다.,"질문은 요금제 적용 방식에 관한 것으로, 이는 '구독 및 결제' 관련 문서에서 다루고 있을 가능성이 높습니다.",,,,,,,,,
faq-025,X,high,,,,desktop 버전은 <기기환경>밖에 없나요? <파일형식> export 같은 기능은 없을까요?,"질문은 특정 기능의 부재와 관련된 것으로, 문서 목록에 해당 기능에 대한 정보가 포함된 문서가 없다.",,,,,,,,,
faq-026,X,high,,,,"안녕하세요, 구독 해지 신청을 하지 못해서 사용하지 않는 제품에 요금 청구가 되었습니다. 혹시 환불 가능한가요? 네 '<프로그램명>' 입니다","질문은 특정 계정에 대한 환불 요청으로, 개별 처리 요청에 해당하여 가이드 문서로 답변할 수 없습니다.",,,,,,,,,
faq-027,O,high,guide/계획-백로그/개요,guide/계획-백로그/구조,,백로그가 뭐여,백로그에 대한 정의와 개요는 '계획: 백로그 > 개요' 문서에 포함되어 있을 가능성이 높습니다.,,,,,,,,,
faq-029,X,high,,,,"회원가입 시 포스틱을 입력하라는데 포스틱의 정확한 의미에 대해 알려주세요. 현재 <외부서비스명> <브라우저>를 사용하고 있는데, 오역에 의해 포스틱이라는 단어가 잘못 노출 된 것인가요? 맥락으로 보아 패스워드를 입력하라는 것 같아 형식에 맞게 기입하였으나 오류 표시와 ","질문은 특정 계정의 번역 오류 문제와 관련된 것으로, 일반적인 사용법/기능/정책 질문이 아니며, 문서 목록에 관련 문서가 없습니다.",,,,,,,,,
faq-030,X,high,,,,"비밀번호 잊어버림 늦은시간 미안합니다, 내일 알려주셔도 됩니다. 일단 화면에서 비번찾기 누르면 <외부서비스명> 로그인으로 회원가입된 계정은 비밀번호를 찾을 수 없습니다. 라고 뜨네요 아에 <외부서비스명>로 가입하면 비번 자체가 없는건가요","The question is about account-specific password recovery, which is not covered by the general guide documents.",,,,,,,,,
faq-031,X,high,,,,ㅇ ㅇ,The question 'ㅇㅇ' is not a valid or answerable question based on the provided document list.,,,,,,,,,
faq-032,X,high,,,,ㅇ,"The question 'ㅇ' is not a valid or complete question, and there is no relevant document in the list to address it.",,,,,,,,,
faq-034,X,high,,,,llm에 대해서 알려주ㅗ,"질문이 LLM에 대한 것으로, 제공된 문서 목록에 관련된 문서가 없기 때문에 답변할 수 없습니다.",,,,,,,,,
faq-035,X,high,,,,<프로그램명> 이후로 자동 결제가 되는줄 몰랐네요.. 환불 가능할까요?? <개인명>의 워크스페이스입니다! 감사합니다,"The question is about a refund request, which is a specific account-related issue not covered by general guide documents.",,,,,,,,,
faq-037,X,high,,,,<외부서비스명> 로그인으로 회원가입했습니다. 사용하지않아 탈퇴하려고합니다. 도대체 회원탈퇴 버튼은 어디에 있는거죠? 워크스페이스 떠나기를 해도 메일이 계속 옵니다. 탈퇴가 안된건가요? <이메일>입니다. 홈페이지 내에서는 탈퇴기능이 없는건가요?,"회원 탈퇴와 관련된 기능이나 정책에 대한 문서가 목록에 없고, 개별 계정 처리 요청이므로 문서로 답변할 수 없다.",,,,,,,,,
faq-038,X,high,,,,탈퇴,"탈퇴는 특정 계정에 대한 개별 처리 요청으로, 가이드 문서로 답할 수 있는 일반적인 사용법/기능/정책 질문이 아니다.",,,,,,,,,
faq-040,X,high,,,,<행사·제휴 제안 원문 마스킹>,"질문은 행사 및 제휴 제안에 대한 것으로, 문서 목록에 관련된 가이드 문서가 없고, 일반적인 사용법/기능/정책 질문이 아니다.",,,,,,,,,
faq-041,X,high,,,,Mac 크롬에서 <서비스명> 로그인/무료로 시작하기/팀 스페이스 초대메일 클릭 시 하얗게 빈 화면만 뜹니다. 모바일 <외부서비스명>이나 Mac 사파리로 접속하면 들어가지긴 합니다. 원인을 알 수 있을까요? 여기까지 크롬 영상이고 사파리는 문제없이 접속됩니다. 감사합니다,"The question is about a specific technical issue with a browser, which is not covered by general usage or feature guides.",,,,,,,,,
faq-042,X,high,,,,안녕하세요. 기능 추가 건의가 있습니다. 😃 프로젝트 및 작업 추가 시 생성자가 디폴트로 참여자가 되도록 해주실 수 있을까요? (또는 상위 참여자가 자동으로 하위 참여자에 추가되는 방향도 좋습니다.) 작업을 여러 개 생성하다 보면 하나씩 수정하는 것이 번거롭기도 하거니,"질문은 기능 추가 건의로, 특정 계정에 대한 개별 처리 요청에 해당하며, 문서 목록에 관련 문서가 없습니다.",,,,,,,,,
faq-044,O,high,guide/깃허브/작업-상태-자동화,guide/깃허브/연동-설정-가이드,,깃헙 연동하고 pr 보냇는데 자동으로 티켓이 안 따지네요?,"질문은 깃허브 연동과 관련된 기능에 대한 것으로, '작업 상태 자동화' 문서가 PR과 관련된 자동화 기능을 설명하고 있어 가장 적합하다.",,,,,,,,,
faq-045,X,high,,,,"안녕하세요! <프로그램명> <프로그램명>, <프로그램명>에 참가했던 <개인명>입니다. 다름이 아니라 오늘 아침에 카드사로부터 지난 번 <프로그램명> 기수 때 등록했던 <서비스명> 프로젝트로부터 구독료 <금액>이 결제되었다는 안내를 받았습니다.. 아무래도 당시 프로젝트 ","질문은 구독료 환불 및 특정 워크스페이스 접속 문제에 대한 개별 처리 요청으로, 가이드 문서로 답변할 수 없는 내용입니다.",,,,,,,,,
faq-046,X,high,,,,회원탈퇴 로직이 보이지 않습니다 <이메일>입니다.,"회원탈퇴 로직에 대한 문서가 목록에 없고, 질문은 특정 계정에 대한 개별 처리 요청이므로 가이드 문서로 답할 수 없다.",,,,,,,,,
faq-047,O,high,guide/구글-캘린더/미팅-일정-동기화-방식,guide/구글-캘린더/연동-설정-가이드,,<외부서비스명>캘린더 연동이 왜 안될까요? 해결했습니다! 근데 캘린더가 미팅에서만 연동되는 이유가 있을까요? 작업에 있는 캘린더에는 연동이 안되는거 같아서요!,"질문은 캘린더 연동이 미팅에서만 가능한 이유를 묻고 있으며, 이는 '미팅 일정 동기화 방식' 문서에 설명되어 있을 가능성이 높습니다.",,,,,,,,,
faq-048,X,high,,,,<서비스명>는 어떤 서비스야?,"The question asks for a general service description, which is not covered by any specific guide document in the list.",,,,,,,,,
faq-049,X,high,,,,"요금제 청구가 자동으로 되어서 환불받고 싶어요 <기간>에 <기관명> <학회명> 학회에서 프로젝트를 같이 진행하였고, 프로젝트가 끝난 이후 요금제 취소를 했었는데 올해 다시 갱신이 되었습니다. 환불해주시면 감사하겠습니다","질문은 특정 계정의 환불 요청으로, 개별 처리 요청에 해당하여 가이드 문서로 답할 수 없습니다.",,,,,,,,,
faq-050,X,high,,,,"이전 프로젝트에서 사용하였던 <서비스명>가, 정기 결제 되었는지 몰랐습니다. 금일 결제되았던 <금액>의 정기 결제권도 취소하고 싶습니다. 워크스페이스 이름 <워크스페이스명> 입니다. 확인 감사드립니다.","질문은 특정 계정의 결제 취소 요청으로, 개별 처리 요청에 해당하여 가이드 문서로 답변할 수 없습니다.",,,,,,,,,
faq-051,X,high,,,,"<수치> 전에 워크스페이스를 제거하였음에도 불구하고, 요금제 결제 시도가 왜 됐는지 궁금합니다.","질문은 특정 계정의 결제 문제에 대한 개별 처리 요청으로, 가이드 문서로 답할 수 있는 일반적인 사용법/기능/정책 질문이 아닙니다.",,,,,,,,,
faq-052,X,high,,,,계정삭제 요청 다른 주소<개인정보> - 삭제요청 계정 : <이메일>,"계정 삭제 요청은 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답변할 수 없는 질문입니다.",,,,,,,,,
faq-053,X,high,,,,"안녕하세요. 지난 가을 산학협력을 진행했던 <기관명>의 <개인명>입니다. 결제 환불과 관련하여 문의드리고자 연락드립니다. 산학협력 진행 당시 User Test를 목적으로 생성했던 해당 워크스페이스에서 Business 요금제가 활성화되어, 월 구독료 <금액>이 결제된 것","질문은 결제 환불과 관련된 개별 처리 요청으로, 문서 목록에 관련된 가이드 문서가 없습니다.",,,,,,,,,
faq-054,X,high,,,,회원명: <개인명> 이메일: <이메일> 탈퇴 요청드립니다. 감사합니다.,"The question is a specific account deletion request, which is not covered by general usage or policy guides.",,,,,,,,,
faq-055,X,high,,,,"혹시 단축키 가이드가 따로 있을까요? 지금은 <외부서비스명>를 쓰고 있는데, 캘린더랑 <수치> 그래프가 정말 맘에 들어서 예전부터 계속 살펴봤습니다. 아직 단축키 지원이 안 되고 매번 터치패드랑 키보드를 왔다갔다하야해서 업데이트 소식 지켜만 보고있네요ㅠ <외부서비스명>","단축키 가이드에 대한 문서가 목록에 없고, 현재 단축키 지원이 없다는 답변이므로 문서로 답할 수 없는 질문입니다.",,,,,,,,,
faq-056,O,high,guide/디스코드/연동-설정-가이드,guide/디스코드/자주-묻는-질문-FAQ,,"안녕하세요 ! 오늘 <행사명>에서 <서비스명>를 알게되서 사용을 시작해보고 있습니다~! <외부서비스명>을 연동했는데, 오픈 채널만 확인됩니다. 프라이빗 채널은 연동할 수 없나요? 아하~ 자세히 알려주셔서 감사합니다ㅎㅎ 말씀해주신 방법으로 시도해보겠습니다 ! 성공했습니다","상담 질문은 외부 서비스의 프라이빗 채널 연동에 관한 것으로, 디스코드 연동 설정 가이드 문서가 관련 정보를 제공할 가능성이 높습니다.",,,,,,,,,
faq-057,X,high,,,,"안녕하세요! 다름이 아니라 저희 팀 백엔드 팀원 중 한 분이 지금 <서비스명>에서 스프린트 생성이 안되는 것 같은데요,,, 이미 관리자 권한을 줬는데도 권한이 없다는 에러메시지가 뜹니다. 혹시 확인 가능하실까요?","질문은 특정 계정의 권한 문제로 인한 스프린트 생성 오류로, 개별 계정 설정 확인이 필요하여 일반적인 가이드 문서로 답변할 수 없습니다.",,,,,,,,,
faq-058,O,high,guide/계획-백로그/개요,guide/계획-백로그/구조,,백로그 기능 설명,"상담 질문은 백로그 기능 설명을 요청하고 있으며, 문서 목록에서 '계획: 백로그' 관련 문서들이 백로그 기능에 대한 설명을 포함하고 있을 가능성이 높습니다.",,,,,,,,,
faq-059,O,high,guide/실행-작업/작업-보관,,,완료된 작업들은 혹시 안 보이게도 할 수 있나요? 완료되었음에도 계속 칸을 차지하고 있어서 해당목표를 완료하기전까지는 화면을 많이 차지하는것같습니다. 필터기능도 사용을 해보고있긴한데 진행 전만 보이게 하면 새로 목표를 추가하면 목표가 보이지않아서 불편하기도 합니다. 혹,"질문은 완료된 작업을 숨기는 방법에 대한 것으로, 이는 '작업 보관' 기능과 관련이 있어 보입니다.",,,,,,,,,
faq-060,X,high,,,,ㄴㄴㄴ,The question 'ㄴㄴㄴ' is not a valid or answerable question based on the provided document list.,,,,,,,,,
faq-061,X,high,,,,안녕하세요! 혹시 기능적인 부분에서 건의하고 싶은 내용들도 여기에 작성해도 괜찮을까요? 안녕하세요! 개인적으로 개선되었으면 하는게 있어서 말씀드립니다. 1. 개별 작업에 하위작업을 등록시 리스트칸에 작업과 같은 레벨에 배치가 되더라구요. 저희 회사에서는 하위작업을 디테,"질문은 기능 개선 요청으로, 특정 계정에 대한 개별 처리 요청이므로 가이드 문서로 답할 수 없습니다.",,,,,,,,,
faq-062,X,high,,,,로그인이 안됩니다! <이메일> 입니다. 비밀번호 로그인입니다! 시크릿모드나 게스트모드도 같은 현상입니다! 네 감사합니다! 어! 방금 로그인해보니까 됐어요! 네! 고맙습니다.,"로그인 문제는 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답변할 수 있는 질문이 아닙니다.",,,,,,,,,
faq-063,X,high,,,,안녕하세요 요금제 문의드립니다 안녕하세요. <수치>(<요일>)에 청구된 요금제 환불이 가능할까요? 네 '<프로그램명>' 워크스페이스에서 비즈니스 요금제입니다 넵 감사합니다. 넵 환불 받았습니다. 감사합니다!,"질문은 특정 계정의 요금제 환불 요청으로, 개별 처리 요청에 해당하여 가이드 문서로 답할 수 없습니다.",,,,,,,,,
faq-064,O,high,guide/중복-작업-감지,guide/중복-작업-감지/중복-작업-감지-사용하는-법,,안녕하세요 태스크 추가할때마다 중복된 것이 있는지 검사하라는 팝업이 뜨는데 계속 나오는게 조금 불편합니다! 혹시 온오프를 해주시거나 중복된 것이 있다그러면 팝업이 뜨게 해주실 수 있으신가요? 네 맞습니다 네 맞습니다. 불필요하게 위의 목표를 가리어서 나머지 태스크들을 ,"질문은 중복 작업 감지 기능의 팝업 설정에 관한 것이며, 관련 문서는 '중복 작업 감지'와 '중복 작업 감지 사용하는 법'입니다.",,,,,,,,,
faq-065,X,high,,,,무료요금제를 사용하고 있었고 <서비스명>를 한 번도 사용하지 않았는데 <금액>이 자동 결제되었습니다..! 혹시 이 금액을 환불받을 수 있을까요? 제가 만들어놓았던 워크스페이스?는 <프로그램명>과 <워크스페이스명> - <프로그램명> 입니다..! <워크스페이스명> - <프,"질문은 특정 계정의 환불 요청으로, 개별 처리 요청에 해당하여 가이드 문서로 답할 수 없습니다.",,,,,,,,,
faq-066,X,high,,,,이전에 <프로그램명> 프로젝트 때문에 결제수단을 등록해두었는데 오늘 자동 결제가 되었어요. 이제 더 이상 쓸 일이 없는데 환불 받을 수 있을까요? <연락처> 워크스페이스 이름이 정확히 기억이 안나는데.. 혹시 다른 정보로는 알 수 없을까요? <프로그램명> <프로그램명>,"질문은 특정 계정의 환불 및 결제 관련 개별 처리 요청으로, 가이드 문서로 답변할 수 없는 내용입니다.",,,,,,,,,
faq-068,X,high,,,,<금액>이 잘못결제 된것 같습니다. 환불 부탁드립니다. <연락처> 결제 취소 부탁드립니다. <프로그램명> 입니다. 네 알겠습니다. 감사합니다! 넵!,"The question is about a specific refund request, which is not covered by general guide documents.",,,,,,,,,
faq-070,X,high,,,,계정 탈퇴 <이메일>,"계정 탈퇴는 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답할 수 있는 질문이 아닙니다.",,,,,,,,,
faq-071,X,high,,,,"탈퇴는 어떻게 하나요 안녕하세요, 이메일 주소<개인정보> <이메일>","탈퇴와 관련된 문서가 목록에 없고, 질문은 특정 계정에 대한 개별 처리 요청이므로 문서로 답변할 수 없습니다.",,,,,,,,,
faq-072,O,high,guide/문서-템플릿/템플릿-적용,guide/문서-템플릿/템플릿-생성,,안녕하세요. 혹시 태스크 복제 기능이 있을까요? 목표 단위로 태스크를 관리하고 싶습니다. 말씀주신 기능도 있으면 좋겠네요! 태스크는 '작업'이었습니다. 제목까지 복제해서 일부만 수정하면 좋겠어서 제안드렸습니다! 감사합니다! 템플릿 활용해보겠습니다 템플릿 말씀주셔서 활용,"질문은 템플릿 기능을 활용한 작업 복제와 댓글에 템플릿 적용 가능 여부에 대한 것이며, 문서 템플릿 관련 문서가 가장 적합합니다.",,,,,,,,,
faq-073,X,high,,,,안녕하십니까? <조직명> 팀의 <개인명>입니다. 좋은 프로그램을 사용할 수 있게 해주신 덕분에 프로젝트 일정관리에 큰 도움이 되고 있어 정말 감사하다는 말씀 드리고 싶습니다^^ 최근 <외부서비스명> 연동까지 되어서 더욱 유용하게 잘 사용하고 있습니다 감사합니다! 최근 ,"질문은 특정 계정의 피드백과 개선 요청에 관한 것으로, 일반적인 사용법이나 기능 설명이 아니며, 문서 목록에 관련 문서가 없습니다.",,,,,,,,,
faq-074,O,high,guide/필터/저장된-보기,guide/필터/필터-적용하기,,안녕하세요. 오류와 원하는 기능이 있어서 전달드립니다. 1. 리스트 화면에서 필터 - 상태 - v진행전 v진행중 v완료대기중 이 상태로 목표 옆에 + 버튼 눌러서 작업을 추가하면 에러가 뜹니다. 2. 완료 된 프로젝트는 안보이는 상태(1번의 필터링 상태)로 계속 쓰고 ,"질문은 필터링 상태 유지에 관한 것으로, 관련 문서는 필터/저장된-보기와 필터/필터-적용하기입니다.",,,,,,,,,
